County,FIPS_int64,Number,Percentage,Rank
Anderson County,48001,4189,9.2,1486
Andrews County,48003,878,7.1,817
Angelina County,48005,8900,14.2,2951
Aransas County,48007,2543,13.4,2119
Archer County,48009,621,9.5,993
Armstrong County,48011,136,9.6,647
Atascosa County,48013,2949,8.2,883
Austin County,48015,2321,10.5,1449
Bailey County,48017,364,7.9,648
Bandera County,48019,1893,10.0,672
Bastrop County,48021,7450,11.7,2368
Baylor County,48023,244,9.3,646
Bee County,48025,1870,7.5,1031
Bell County,48027,24451,9.7,2309
Bexar County,48029,163203,11.3,2733
Blanco County,48031,971,10.2,838
Borden County,48033,52,10.3,775
Bosque County,48035,1396,9.7,720
Bowie County,48037,6647,9.6,1428
Brazoria County,48039,32768,12.3,2819
Brazos County,48041,13506,8.1,2128
Brewster County,48043,659,9.0,661
Briscoe County,48045,116,9.6,734
Brooks County,48047,420,8.5,803
Brown County,48049,2774,9.7,1147
Burleson County,48051,1340,9.6,899
Burnet County,48053,3559,9.6,857
Caldwell County,48055,3127,9.8,1737
Calhoun County,48057,1825,11.6,2178
Callahan County,48059,1076,10.1,1153
Cameron County,48061,36572,12.9,2891
Camp County,48063,883,9.4,1140
Carson County,48065,413,9.4,868
Cass County,48067,2131,9.4,777
Castro County,48069,439,8.5,834
Chambers County,48071,2461,8.1,1079
Cherokee County,48073,4160,11.0,1969
Childress County,48075,419,7.3,889
Clay County,48077,885,10.8,1305
Cochran County,48079,172,8.5,816
Coke County,48081,256,9.9,640
Coleman County,48083,628,9.9,677
Collin County,48085,58154,7.8,961
Collingsworth County,48087,186,8.8,783
Colorado County,48089,1882,11.7,1856
Comal County,48091,10109,8.6,661
Comanche County,48093,996,9.7,711
Concho County,48095,216,9.9,756
Cooke County,48097,2656,8.7,735
Coryell County,48099,4228,7.4,1376
Cottle County,48101,102,9.8,792
Crane County,48103,249,7.6,720
Crockett County,48105,214,8.5,590
Crosby County,48107,362,8.9,741
Culberson County,48109,153,9.4,789
Dallam County,48111,364,7.6,729
Dallas County,48113,180005,9.5,2135
Dawson County,48115,696,7.6,774
Deaf Smith County,48117,924,7.5,702
Delta County,48119,372,9.4,800
Denton County,48121,56736,8.8,1659
Dewitt County,48123,1387,9.1,758
Dickens County,48125,159,9.1,787
Dimmit County,48127,560,8.1,577
Donley County,48129,233,9.6,714
Duval County,48131,697,8.7,826
Eastland County,48133,1230,8.9,607
Ector County,48135,7597,6.8,786
Edwards County,48137,152,10.3,695
El Paso County,48141,62668,10.6,2481
Ellis County,48139,14486,11.1,2400
Erath County,48143,2305,7.5,740
Falls County,48145,1208,9.1,1093
Fannin County,48147,2396,8.8,854
Fayette County,48149,1775,9.0,445
Fisher County,48151,278,9.5,650
Floyd County,48153,355,8.8,769
Foard County,48155,92,10.1,701
Fort Bend County,48157,61208,10.8,2391
Franklin County,48159,739,9.2,720
Freestone County,48161,1381,9.3,950
Frio County,48163,987,6.6,621
Gaines County,48165,947,7.2,882
Galveston County,48167,31952,12.7,2777
Garza County,48169,354,7.1,818
Gillespie County,48171,2180,10.3,740
Glasscock County,48173,79,7.8,707
Goliad County,48175,589,10.0,936
Gonzales County,48177,1291,8.8,830
Gray County,48179,1373,8.7,1031
Grayson County,48181,9953,9.9,1445
Gregg County,48183,8127,9.2,1369
Grimes County,48185,2071,9.5,1277
Guadalupe County,48187,11493,9.5,1698
Hale County,48189,1806,7.7,794
Hall County,48191,215,9.6,733
Hamilton County,48193,621,9.6,673
Hansford County,48195,300,8.3,729
Hardeman County,48197,285,9.5,800
Hardin County,48199,4405,10.4,1730
Harris County,48201,336401,10.1,2394
Harrison County,48203,5127,10.6,1817
Hartley County,48205,345,8.0,783
Haskell County,48207,407,8.9,802
Hays County,48209,12637,7.5,1168
Hemphill County,48211,212,8.3,687
Henderson County,48213,7953,12.6,2197
Hidalgo County,48215,69999,12.5,2953
Hill County,48217,2756,10.1,1141
Hockley County,48219,1257,7.8,663
Hood County,48221,5126,10.8,1198
Hopkins County,48223,2594,9.5,1136
Houston County,48225,2050,11.4,1840
Howard County,48227,2161,7.8,874
Hudspeth County,48229,275,7.3,722
Hunt County,48231,7217,10.0,1602
Hutchinson County,48233,1241,8.2,600
Irion County,48235,104,8.9,558
Jack County,48237,563,8.3,779
Jackson County,48239,998,9.4,1076
Jasper County,48241,3531,13.4,2602
Jeff Davis County,48243,229,10.9,792
Jefferson County,48245,23694,12.9,2850
Jim Hogg County,48247,284,8.2,594
Jim Wells County,48249,2315,8.2,708
Johnson County,48251,14289,11.4,2338
Jones County,48253,1265,7.8,779
Karnes County,48255,858,7.2,704
Kaufman County,48257,8697,9.2,1602
Kendall County,48259,3459,9.8,1159
Kenedy County,48261,24,8.2,641
Kent County,48263,58,10.0,688
Kerr County,48265,4275,10.4,962
Kimble County,48267,347,10.0,643
King County,48269,18,9.0,730
Kinney County,48271,266,9.2,831
Kleberg County,48273,1531,7.0,788
Knox County,48275,238,9.1,722
La Salle County,48283,389,6.7,689
Lamar County,48277,4184,11.3,1955
Lamb County,48279,743,8.3,606
Lampasas County,48281,1582,9.7,1040
Lavaca County,48285,1519,10.1,1029
Lee County,48287,1236,9.5,1027
Leon County,48289,1258,9.6,673
Liberty County,48291,5553,8.9,1458
Limestone County,48293,1576,8.9,850
Lipscomb County,48295,208,8.9,796
Live Oak County,48297,808,8.5,628
Llano County,48299,2016,11.1,612
Loving County,48301,Suppressed,7.8,792
Lubbock County,48303,17462,7.8,1155
Lynn County,48305,354,8.5,705
Madison County,48313,879,8.1,1086
Marion County,48315,840,10.6,922
Martin County,48317,288,7.6,663
Mason County,48319,337,10.1,659
Matagorda County,48321,3191,12.1,2437
Maverick County,48323,2887,7.5,828
Mcculloch County,48307,580,9.6,946
Mclennan County,48309,14620,8.0,986
Mcmullen County,48311,57,9.8,694
Medina County,48325,3263,8.5,728
Menard County,48327,184,10.7,689
Midland County,48329,8070,6.6,623
Milam County,48331,1844,10.0,1101
Mills County,48333,386,10.2,750
Mitchell County,48335,498,7.6,799
Montague County,48337,1399,9.4,753
Montgomery County,48339,44110,10.2,1964
Moore County,48341,1034,7.5,855
Morris County,48343,916,9.9,1002
Motley County,48345,101,10.8,942
Nacogdoches County,48347,5380,11.6,2626
Navarro County,48349,4417,12.4,2446
Newton County,48351,1091,10.3,1412
Nolan County,48353,931,8.9,838
Nueces County,48355,29876,11.3,2509
Ochiltree County,48357,481,7.4,645
Oldham County,48359,131,8.3,766
Orange County,48361,8118,13.3,2791
Palo Pinto County,48363,2246,10.3,1338
Panola County,48365,1551,9.0,832
Parker County,48367,9109,8.7,1039
Parmer County,48369,534,8.1,734
Pecos County,48371,881,7.6,789
Polk County,48373,5825,14.5,2843
Potter County,48375,6649,8.0,1073
Presidio County,48377,452,9.5,804
Rains County,48379,955,9.8,734
Randall County,48381,7913,7.9,716
Reagan County,48383,196,7.5,859
Real County,48385,295,10.4,706
Red River County,48387,1180,12.5,1940
Reeves County,48389,815,6.8,767
Refugio County,48391,507,9.7,878
Roberts County,48393,58,9.2,771
Robertson County,48395,1209,9.6,1083
Rockwall County,48397,6069,8.2,866
Runnels County,48399,696,9.1,733
Rusk County,48401,3931,9.6,1532
Sabine County,48403,1129,13.4,1847
San Augustine County,48405,768,11.9,1569
San Jacinto County,48407,2401,10.8,1391
San Patricio County,48409,5918,12.5,2741
San Saba County,48411,416,8.8,590
Schleicher County,48413,179,8.8,690
Scurry County,48415,941,7.8,628
Shackelford County,48417,220,9.1,591
Shelby County,48419,1680,9.3,1106
Sherman County,48421,178,8.4,750
Smith County,48423,15585,9.2,1292
Somervell County,48425,610,8.8,732
Starr County,48427,3816,9.2,1868
Stephens County,48429,641,9.1,899
Sterling County,48431,72,8.1,698
Stonewall County,48433,110,10.8,1046
Sutton County,48435,252,9.1,695
Swisher County,48437,470,8.8,986
Tarrant County,48439,157042,10.5,2405
Taylor County,48441,7902,8.0,1061
Terrell County,48443,65,10.6,857
Terry County,48445,694,8.0,762
Throckmorton County,48447,123,10.4,728
Titus County,48449,1847,8.3,798
Tom Green County,48451,7378,8.5,1186
Travis County,48453,64271,6.6,798
Trinity County,48455,1371,12.0,1613
Tyler County,48457,1545,9.0,853
Upshur County,48459,2697,8.7,644
Upton County,48461,200,7.9,687
Uvalde County,48463,1593,8.5,922
Val Verde County,48465,2498,7.4,590
Van Zandt County,48467,4143,9.8,1156
Victoria County,48469,8032,12.1,2575
Walker County,48471,6015,10.2,2377
Waller County,48473,3270,8.6,1564
Ward County,48475,644,7.8,848
Washington County,48477,2604,9.9,1062
Webb County,48479,13486,7.6,1122
Wharton County,48481,3352,11.3,2067
Wheeler County,48483,336,9.1,814
Wichita County,48485,12690,13.1,2920
Wilbarger County,48487,993,10.3,1643
Willacy County,48489,1116,7.2,650
Williamson County,48491,34315,8.0,1136
Wilson County,48493,3505,9.3,1179
Winkler County,48495,408,7.5,618
Wise County,48497,5144,10.1,1650
Wood County,48499,3555,9.9,705
Yoakum County,48501,428,7.7,801
Young County,48503,1329,10.0,1123
Zapata County,48505,681,7.5,613
Zavala County,48507,624,7.7,769
